Name,Rating,Reviews,Price,Cuisine,Location
The Earle,4.7 stars out of 5,Exceptional,3,Italian,Ann Arbor
Jim Brady's - Ann Arbor,4.4 stars out of 5,Awesome,2,American,Ann Arbor
Ashley's Restaurant,4.1 stars out of 5,Excellent,2,American,Ann Arbor
Shalimar Restaurant,4.3 stars out of 5,Awesome,2,Indian,Ann Arbor
Taste Kitchen,4.7 stars out of 5,Exceptional,3,Contemporary American,Ann Arbor
Zola Bistro,4 stars out of 5,Excellent,2,Contemporary French / American,Ann Arbor
Weber's Restaurant,4.6 stars out of 5,Exceptional,3,Steakhouse,Ann Arbor
Red Lobster - Ann Arbor,4.2 stars out of 5,Awesome,2,Seafood,Ann Arbor
Salt Springs Brewery,4.7 stars out of 5,Exceptional,2,Brewery,Saline
Zingerman's Roadhouse,4.7 stars out of 5,Exceptional,3,American,Ann Arbor
Mediterrano,4.7 stars out of 5,Exceptional,3,Mediterranean,Ann Arbor
Blue LLama Jazz Club,4.8 stars out of 5,Exceptional,3,American,Ann Arbor
Buffalo Wild Wings - Ann Arbor - Boardwalk Dr.,3.3 stars out of 5,Good,2,Sports Bar,Ann Arbor
Mallett's Creek Bar & Grill - Ann Arbor,NA,NA,2,American,Ann Arbor
V Kitchen Vietnamese Cuisine,4.3 stars out of 5,Awesome,2,Vietnamese,Ann Arbor
Ruth's Chris Steak House - Ann Arbor,4.7 stars out of 5,Exceptional,4,Steakhouse,Ann Arbor
The West End Grill,4.6 stars out of 5,Exceptional,4,American,Ann Arbor
Of Rice & Men,4.6 stars out of 5,Exceptional,4,Asian,Ann Arbor
Cafe Zola,4.5 stars out of 5,Awesome,2,Contemporary American,Ann Arbor
Gandy Dancer,4.6 stars out of 5,Exceptional,2,Seafood,Ann Arbor
Buffalo Wild Wings - Ann Arbor - State Street,3.1 stars out of 5,Good,2,Burgers,Ann Arbor
Pizza House-Ann Arbor,4.4 stars out of 5,Awesome,2,Italian,Ann Arbor
P.F. Chang's - Ann Arbor,4.1 stars out of 5,Excellent,2,Asian,Ann Arbor
The Session Room,4.8 stars out of 5,Exceptional,2,Gastro Pub,Ann Arbor
Carlyle Grill,4.6 stars out of 5,Exceptional,2,Contemporary American,Ann Arbor
The View Restaurant,4 stars out of 5,Excellent,2,American,Ann Arbor
Portage Yacht Club,3.5 stars out of 5,Very Good,2,American,"Pinckney, MI"
Famous Dave's - Taylor,3.9 stars out of 5,Excellent,2,Barbecue,Saline
Produce Station,3 stars out of 5,Good,2,American,Ann Arbor
Bennys Family Dining,NA,NA,2,American,Ann Arbor
Sze Chuan West,NA,NA,2,Chinese,Ann Arbor
Eat,NA,NA,2,American,Ann Arbor
Mi Compadre,NA,NA,2,Mexican,Ann Arbor
Quickie Burger & Dogs,NA,NA,2,Burgers,Ann Arbor
Olive Garden - Ann Arbor,NA,NA,2,Italian,Ann Arbor
Dominicks,NA,NA,2,Mexican,Ann Arbor
Romano's Macaroni Grill - Ann Arbor,3.5 stars out of 5,Very Good,2,Italian,Ann Arbor
Carmelita's Kitchen,NA,NA,2,American,Ann Arbor
Real Seafood,NA,NA,2,Seafood,Ann Arbor
The Maize & Blue Cupboard - University of Michigan,NA,NA,2,Unspecified,Ann Arbor
Shopper - MBC Mobile Distribution - University of Michigan,NA,NA,2,Unspecified,Ann Arbor
Volunteer - MBC Mobile Distribution - University of Michigan,NA,NA,2,Unspecified,Ann Arbor
P.F. Chang's China Bistro - Ann Arbor,NA,NA,3,Chinese,Ann Arbor
Chop Sticks Inc,NA,NA,2,Asian,Ann Arbor
Ricks American Cafe,NA,NA,2,American,Ann Arbor
Good Time Charley's,NA,NA,3,Burgers,Ann Arbor
Saica,NA,NA,3,Italian,Ann Arbor
Applebee's Grill and Bar - Ann Arbor - Eisenhower Pkwy.,NA,NA,3,American,Ann Arbor
Jonathon B Pub,NA,NA,2,Grill,Ann Arbor
No Thai,NA,NA,2,Thai,Ann Arbor
Berlla Italia,NA,NA,2,Italian,Ann Arbor
Ayaka,NA,NA,2,Japanese,Ann Arbor
Zamaan Cafe 3,NA,NA,2,Middle Eastern,Ann Arbor
Bagger Dave's Burger Tavern,NA,NA,2,American,Ann Arbor
China Gate Restaurant,NA,NA,2,Chinese,Ann Arbor
ONE BOWL Asian Cuisine,4.7 stars out of 5,Exceptional,2,Chinese,Ann Arbor
Seoul Garden,NA,NA,3,Korean,Ann Arbor
The Blue Leprechaun,NA,NA,2,Grill,Ann Arbor
No Thai!,NA,NA,2,Thai,Ann Arbor
Rich J C Korean Restaurant,NA,NA,2,Korean,Ann Arbor
Belly Deli Inc,NA,NA,2,American,Ann Arbor
Social House South U,NA,NA,2,American,Ann Arbor
Kang's Korean Restaurant,NA,NA,2,Korean,Ann Arbor
Sadako Japanese Restaurant,NA,NA,3,Japanese,Ann Arbor
King Ventures,NA,NA,2,American,Ann Arbor
The Bistro,NA,NA,2,American,Ann Arbor
Graham's Restaurant,NA,NA,3,Steakhouse,Ann Arbor
Namaste Flavours Arbor,NA,NA,2,Indian,Ann Arbor
Marnee Thai - Ann Arbor,4.2 stars out of 5,Awesome,2,Thai,Ann Arbor
Tianchu Restaurant,NA,NA,2,American,Ann Arbor
Eata Pita,NA,NA,2,American,Ann Arbor
Jefferson Market,NA,NA,2,American,Ann Arbor
Relish,3.8 stars out of 5,Excellent,2,American,Ann Arbor
Silvio's Organic Pizzeria,4 stars out of 5,Excellent,2,Italian,Ann Arbor
Franks Restaurant,NA,NA,2,American,Ann Arbor
Scorekeepers Sportsgrill & Pub,NA,NA,2,American,Ann Arbor
Hopcat,NA,NA,2,American,Ann Arbor
Red Hawk Bar & Grill,NA,NA,3,Grill,Ann Arbor
Galort,NA,NA,3,Grill,Ann Arbor
California Pizza Kitchen - Briarwood - PRIORITY SEATING,4.1 stars out of 5,Excellent,2,American,Ann Arbor
Conor O'Neill's,4.2 stars out of 5,Awesome,2,Irish,Ann Arbor
Knight's Steakhouse - Downtown Ann Arbor,4.5 stars out of 5,Awesome,2,Steakhouse,Ann Arbor
Tkwu Restaurant,NA,NA,2,Chinese,Ann Arbor
Green Door,NA,NA,2,Grill,Ann Arbor
Jamaican Jerk Pit,NA,NA,2,Caribbean,Ann Arbor
Isalita,4.6 stars out of 5,Exceptional,2,Mexican,Ann Arbor
Mani Osteria,4.6 stars out of 5,Exceptional,2,Italian,Ann Arbor
Tomukun Korean Barbeque,NA,NA,3,Chinese,Ann Arbor
Bar Louie - Ann Arbor,NA,NA,3,American,Ann Arbor
Jerusalem Garden,NA,NA,2,Middle Eastern,Ann Arbor
Jolly Pumpkin,4.3 stars out of 5,Awesome,2,American,Ann Arbor
Tio's Mexican Cafe,4.4 stars out of 5,Awesome,2,Mexican,Ann Arbor
Afternoon Delight,NA,NA,2,American,Ann Arbor
Cloverleaf Restaurant,NA,NA,2,American,Ann Arbor
A Taste Of India,NA,NA,2,Indian,Ann Arbor
"eve, Ann Arbor",4.5 stars out of 5,Awesome,3,Contemporary American,Ann Arbor
Mtotoro,NA,NA,2,Japanese,Ann Arbor
Nagomi Sushi - Downtown,NA,NA,3,Sushi,Ann Arbor
Black Pearl Ann Arbor,4.4 stars out of 5,Awesome,2,Seafood,Ann Arbor
Grange Kitchen & Bar,4.4 stars out of 5,Awesome,2,Farm-to-table,Ann Arbor
